WARNING: Final field name in class ghidra.util.charset.CharsetInfo has been mutated reflectively by class com.google.gson.internal.bind.ReflectiveTypeAdapterFactory$2 in unnamed module @28b46423 (file:/opt/ghidra/Ghidra/Framework/Generic/lib/gson-2.13.2.jar)
WARNING: Use --enable-final-field-mutation=ALL-UNNAMED to avoid a warning
WARNING: Mutating final fields will be blocked in a future release unless final field mutation is enabled
SWEPT SCOPE -- memory blocks in BCM_OwnerFlash/cflash.bin:
   CFLASH               00000000 .. 0017ffff
   SHADOW               00200000 .. 00203fff
   DFLASH               00800000 .. 0080ffff
   SRAM                 40000000 .. 40017fff
   PBRIDGE_A            c3f00000 .. c3ffffff
   PBRIDGE_B            ffe00000 .. ffffffff
SCAN SCOPE: all references-to 0x031360 across the whole image.

getReferencesTo(0x031360): 782 refs
  by type: {'UNCONDITIONAL_CALL': 782}

SITE       FLAG         BIT FUNC
0x05DEE4   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DEF8   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF0C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF20   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF3A   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF54   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF6E   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF88   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DF9C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DFB0   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DFC4   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DFD8   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05DFF2   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E00C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E026   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E040   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E054   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E068   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E07C   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E090   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E0A4   0x00000012   1   FUN_0005dd1e@0005dd1e
0x05E0B8   None         1   FUN_0005dd1e@0005dd1e
0x05E0CC   None         1   FUN_0005dd1e@0005dd1e
0x05E0E0   None         1   FUN_0005dd1e@0005dd1e
0x05E0F4   None         1   FUN_0005dd1e@0005dd1e
0x05E108   None         1   FUN_0005dd1e@0005dd1e
0x05E11C   None         1   FUN_0005dd1e@0005dd1e
0x05E130   None         1   FUN_0005dd1e@0005dd1e
0x05E144   None         1   FUN_0005dd1e@0005dd1e
0x05E158   None         1   FUN_0005dd1e@0005dd1e
0x05E16C   None         1   FUN_0005dd1e@0005dd1e
0x05E180   None         1   FUN_0005dd1e@0005dd1e
0x05E194   None         1   FUN_0005dd1e@0005dd1e
0x05E1A8   None         1   FUN_0005dd1e@0005dd1e
0x05E1BC   None         1   FUN_0005dd1e@0005dd1e
0x05E1D0   None         1   FUN_0005dd1e@0005dd1e
0x05E1E4   None         1   FUN_0005dd1e@0005dd1e
0x05E1F8   None         1   FUN_0005dd1e@0005dd1e
0x05E20C   None         1   FUN_0005dd1e@0005dd1e
0x05E220   None         1   FUN_0005dd1e@0005dd1e
0x05E234   None         1   FUN_0005dd1e@0005dd1e
0x05E248   None         1   FUN_0005dd1e@0005dd1e
0x05E25C   None         1   FUN_0005dd1e@0005dd1e
0x05E270   None         1   FUN_0005dd1e@0005dd1e
0x05E284   None         1   FUN_0005dd1e@0005dd1e
0x05E298   None         1   FUN_0005dd1e@0005dd1e
0x05E2AC   None         1   FUN_0005dd1e@0005dd1e
0x05E2C0   None         1   FUN_0005dd1e@0005dd1e
0x05E2D4   None         1   FUN_0005dd1e@0005dd1e
0x05E2E8   None         1   FUN_0005dd1e@0005dd1e
0x05E2FC   None         1   FUN_0005dd1e@0005dd1e
0x05E310   None         1   FUN_0005dd1e@0005dd1e
0x05E324   None         1   FUN_0005dd1e@0005dd1e
0x05E338   None         1   FUN_0005dd1e@0005dd1e
0x05E34C   None         1   FUN_0005dd1e@0005dd1e
0x05E360   None         1   FUN_0005dd1e@0005dd1e
0x05E374   None         1   FUN_0005dd1e@0005dd1e
0x05E388   None         1   FUN_0005dd1e@0005dd1e
0x05E39C   None         1   FUN_0005dd1e@0005dd1e
0x05E3B0   None         1   FUN_0005dd1e@0005dd1e
0x05E3C4   None         1   FUN_0005dd1e@0005dd1e
0x05E3D8   None         1   FUN_0005dd1e@0005dd1e
0x05E3EC   None         1   FUN_0005dd1e@0005dd1e
0x05E400   None         1   FUN_0005dd1e@0005dd1e
0x05E414   None         1   FUN_0005dd1e@0005dd1e
0x05E428   None         1   FUN_0005dd1e@0005dd1e
0x05E43C   None         1   FUN_0005dd1e@0005dd1e
0x05E450   None         1   FUN_0005dd1e@0005dd1e
0x05E468   None         1   FUN_0005e45a@0005e45a
0x05E480   None         1   FUN_0005e472@0005e472
0x05E498   None         1   FUN_0005e48a@0005e48a
0x05E4B0   None         1   FUN_0005e4a2@0005e4a2
0x05E4C8   None         1   FUN_0005e4ba@0005e4ba
0x05E4E0   None         1   FUN_0005e4d2@0005e4d2
0x05E4F4   None         1   FUN_0005e4d2@0005e4d2
0x05E508   None         1   FUN_0005e4d2@0005e4d2
0x05E51C   None         1   FUN_0005e4d2@0005e4d2
0x05E530   None         1   FUN_0005e4d2@0005e4d2
0x05E544   None         1   FUN_0005e4d2@0005e4d2
0x05E558   None         1   FUN_0005e4d2@0005e4d2
0x05E56C   None         1   FUN_0005e4d2@0005e4d2
0x05E580   None         1   FUN_0005e4d2@0005e4d2
0x05E594   None         1   FUN_0005e4d2@0005e4d2
0x05E5A8   None         1   FUN_0005e4d2@0005e4d2
0x05E5BC   None         1   FUN_0005e4d2@0005e4d2
0x05E5D0   None         1   FUN_0005e4d2@0005e4d2
0x05E5E4   None         1   FUN_0005e4d2@0005e4d2
0x05E5F8   None         1   FUN_0005e4d2@0005e4d2
0x05E60C   None         1   FUN_0005e4d2@0005e4d2
0x05E620   None         1   FUN_0005e4d2@0005e4d2
0x05E634   None         1   FUN_0005e4d2@0005e4d2
0x05E648   None         1   FUN_0005e4d2@0005e4d2
0x05E65C   None         1   FUN_0005e4d2@0005e4d2
0x05E670   None         1   FUN_0005e4d2@0005e4d2
0x05E684   None         1   FUN_0005e4d2@0005e4d2
0x05E698   None         1   FUN_0005e4d2@0005e4d2
0x05E6AC   None         1   FUN_0005e4d2@0005e4d2
0x05E6C0   None         2   FUN_0005e4d2@0005e4d2
0x05FFF6   0x40003D97   2   FUN_0005ffec@0005ffec
0x0601FC   0x40003E35   0   FUN_000601f4@000601f4
0x060404   0x40003DC1   1   FUN_000603ea@000603ea
0x06046C   None         1   None
0x060482   None         1   None
0x062A8A   0x40003FA7   0   FUN_00062a7e@00062a7e
0x062C9E   None         0   FUN_00062c38@00062c38
0x064574   0x40003E64   5   FUN_00064564@00064564
0x0645F4   0x40003F70   0   FUN_000645ea@000645ea
0x064646   0x40003F1C   0   FUN_000645ea@000645ea
0x064658   0x40003F6E   0   FUN_000645ea@000645ea
0x06466A   0x40003F64   0   FUN_000645ea@000645ea
0x064694   0x40003F66   0   FUN_000645ea@000645ea
0x064844   0x40003F70   0   FUN_0006483a@0006483a
0x064896   0x40003F1C   0   FUN_0006483a@0006483a
0x0648A8   0x40003F6E   0   FUN_0006483a@0006483a
0x0648BA   0x40003F64   0   FUN_0006483a@0006483a
0x0648DA   0x40003F66   0   FUN_0006483a@0006483a
0x06582E   0x40003E24   0   FUN_00065824@00065824
0x065B66   0x40003F4F   0   FUN_00065b5c@00065b5c
0x065B88   0x40003E62   0   FUN_00065b7e@00065b7e
0x065BF0   0x40003E85   0   FUN_00065be6@00065be6
0x065F22   0x40003E44   0   FUN_00065f18@00065f18
0x068A32   0x40003E85   0   FUN_00068a28@00068a28
0x068CF6   0x40003E44   0   FUN_00068cec@00068cec
0x06A2D4   0x40003F06   0   FUN_0006a2ca@0006a2ca
0x06A418   0x40003D74   0   FUN_0006a40e@0006a40e
0x06BD84   0x40003EB6   0   FUN_0006bd74@0006bd74
0x06BDD4   0x40003FED   0   FUN_0006bdc4@0006bdc4
0x06C2A8   0x40003EB6   0   FUN_0006c29e@0006c29e
0x06C2C2   0x40003FED   0   FUN_0006c2b8@0006c2b8
0x06C970   0x40003E62   1   FUN_0006c966@0006c966
0x06D5FA   0x40003DE1   0   FUN_0006d5f0@0006d5f0
0x06D934   0x40003DF0   0   FUN_0006d92a@0006d92a
0x06DA14   0x40003DF1   0   FUN_0006da0a@0006da0a
0x06DD50   0x40003DF2   0   FUN_0006dd46@0006dd46
0x06E37A   0x40003DF3   0   FUN_0006e370@0006e370
0x06E740   0x40003DE0   0   FUN_0006e736@0006e736
0x06E960   0x40003DE0   0   FUN_0006e956@0006e956
0x06EB58   0x40003DE2   0   FUN_0006eb4e@0006eb4e
0x06ED46   0x40003DDF   0   FUN_0006ed3c@0006ed3c
0x06EF52   0x40003E64   0   FUN_0006ef48@0006ef48
0x06F0B8   0x40003E63   4   FUN_0006f0ae@0006f0ae
0x06F4B4   0x40003E63   4   FUN_0006f4aa@0006f4aa
0x06F70A   0x40003E64   3   FUN_0006f700@0006f700
0x06F79A   0x40003DC0   0   FUN_0006f790@0006f790
0x070232   0x40003E62   6   FUN_00070228@00070228
0x07054E   0x40003DDC   0   FUN_00070544@00070544
0x07125A   0x4000401B   1   FUN_00071250@00071250
0x071C22   0x40003E62   7   FUN_00071c18@00071c18
0x071D9E   0x40003F38   1   FUN_00071c32@00071c32
0x071DC4   0x40003F37   1   FUN_00071c32@00071c32
0x07255E   0x40003DDD   0   FUN_00072554@00072554
0x072694   0x40003DDD   0   FUN_0007268a@0007268a
0x072DC6   0x40003E2A   0   FUN_00072dbc@00072dbc
0x073A8E   0x40003E33   0   FUN_00073a84@00073a84
0x073B12   0x40003E32   0   FUN_00073b08@00073b08
0x074DB0   0x40003E62   5   FUN_00074da6@00074da6
0x074DCC   0x4000401A   0   FUN_00074dc2@00074dc2
0x074DDC   0x4000401B   0   FUN_00074dd2@00074dd2
0x07522C   0x40003E02   0   FUN_00075222@00075222
0x075436   0x40003E02   0   FUN_0007542c@0007542c
0x0754BE   0x40003D94   0   FUN_000754b4@000754b4
0x075B4C   0x40003E31   0   FUN_00075b42@00075b42
0x075C38   0x40003E34   0   FUN_00075c2e@00075c2e
0x077422   0x40003E63   3   FUN_00077418@00077418
0x077532   0x40003E63   3   FUN_00077528@00077528
0x0779E4   0x40003DEF   0   FUN_000779da@000779da
0x077BF2   0x40003F69   0   FUN_00077be8@00077be8
0x077E70   0x40003F24   3   FUN_00077e2c@00077e2c
0x077EBA   None         3   FUN_00077e2c@00077e2c
0x0780DC   0x40003E64   4   FUN_000780d2@000780d2
0x0781E0   0x4000401F   0   FUN_000781d2@000781d2
0x078284   0x4000401F   None FUN_0007827c@0007827c
0x0784F4   0x40003E64   4   FUN_000784ea@000784ea
0x078C50   0x40003E63   5   FUN_00078c46@00078c46
0x079736   0x40003F6B   0   FUN_0007972c@0007972c
0x07990A   0x40003F6B   0   FUN_00079900@00079900
0x07A21E   0x40003D87   0   FUN_0007a20e@0007a20e
0x07A340   0x40003E9D   None FUN_0007a324@0007a324
0x07B2F0   0x40003E9D   0   FUN_0007b2e4@0007b2e4
0x07BE18   0x40003D87   0   FUN_0007be0e@0007be0e
